"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 17 13:12:56 GMT 2022","Thu Nov 17 13:13:04 GMT 2022","7620","","demoqa.tests.StudentRegistrationFormTests","","demoqa.tests.StudentRegistrationFormTests","open","open()",""
"passed","Thu Nov 17 13:13:04 GMT 2022","Thu Nov 17 13:13:10 GMT 2022","6338","","demoqa.tests.StudentRegistrationFormTests","","demoqa.tests.StudentRegistrationFormTests","open1","open1()",""
"passed","Thu Nov 17 13:12:08 GMT 2022","Thu Nov 17 13:12:56 GMT 2022","47849","","demoqa.tests.StudentRegistrationFormTests","","demoqa.tests.StudentRegistrationFormTests","fillFormTest","fillFormTest()",""
