"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 17 12:49:47 GMT 2022","Thu Nov 17 12:49:47 GMT 2022","168","","demoqa.tests.StudentRegistrationFormTests","","demoqa.tests.StudentRegistrationFormTests","open1","open1()",""
"broken","Thu Nov 17 12:49:44 GMT 2022","Thu Nov 17 12:49:47 GMT 2022","2888","","demoqa.tests.StudentRegistrationFormTests","","demoqa.tests.StudentRegistrationFormTests","fillFormTest","fillFormTest()",""
"broken","Thu Nov 17 12:49:47 GMT 2022","Thu Nov 17 12:49:47 GMT 2022","186","","demoqa.tests.StudentRegistrationFormTests","","demoqa.tests.StudentRegistrationFormTests","open","open()",""
